course,level,subject,a+%,>=b+%,pass%
URBPLAN124,100,STATS,3%,38%,88%
URBPLAN125,100,STATS,6%,50%,90%
URBPLAN223,200,STATS,1%,35%,90%
URBPLAN226,200,STATS,5%,71%,98%
URBPLAN323,300,STATS,3%,69%,96%
URBPLAN326,300,STATS,5%,40%,95%
YOUTHWRK152,100,STATS,23%,64%,87%
YOUTHWRK152G,100,STATS,29%,74%,93%
ANCIENT377,300,ANCIENT,14%,79%,100%
ANTHRO306,300,ANTHRO,18%,66%,87%
ASIAN209,200,ASIAN,11%,71%,92%
ASIAN309,300,ASIAN,24%,80%,95%
CHEM100,100,CAREER,41%,88%,98%
CHEM100G,100,CAREER,34%,88%,99%
DANCE207,200,DANCE,41%,95%,98%
EDCURRIC108,100,EDCURRIC,10%,51%,87%
EDUC304,300,EDUC,24%,64%,96%
ENGLACP20P,200,ENGGEN,0%,6%,11%
ENGLACP30P,300,ENGGEN,0%,10%,90%
ENGLACP40P,400,ENGGEN,0%,20%,97%
EUROPEAN206,200,ENVSCI,6%,65%,94%
EUROPEAN302,300,EUROPEAN,13%,67%,93%
FINEARTS205,200,FINEARTS,8%,41%,71%
GEOG325,300,GEOG,13%,66%,97%
HISTORY257,200,HISTORY,11%,67%,84%
HISTORY357,300,HISTORY,12%,65%,88%
JAPANESE277,200,JAPANESE,27%,41%,41%
JAPANESE377,300,JAPANESE,39%,63%,63%
KOREAN277,200,KOREAN,26%,61%,61%
KOREAN278,200,KOREAN,4%,31%,31%
KOREAN377,300,KOREAN,23%,52%,59%
KOREAN378,300,KOREAN,29%,65%,79%
LAWCOMM457,400,LAWCOMM,3%,65%,95%
LAWGENRL406,400,LAWGENRL,0%,72%,98%
LAWGENRL439,400,LAWGENRL,0%,76%,95%
LAWGENRL459,400,LAWGENRL,14%,68%,93%
LAWPUBL413,400,LAWPUBL,2%,41%,91%
LAWPUBL417,400,LAWPUBL,0%,55%,97%
LAWPUBL462,400,LAWPUBL,1%,63%,96%
MGMT302,300,MGMT,8%,51%,92%
THEOREL221,200,STATS,7%,39%,77%
THEOREL321,300,STATS,0%,39%,74%
ANCIENT254,200,ANCIENT,6%,51%,72%
ANCIENT354,300,ANCIENT,14%,60%,87%
ANTHRO206,200,ANTHRO,11%,56%,85%
ANTHRO208,200,ANTHRO,9%,55%,92%
ANTHRO372,300,ANTHRO,6%,63%,88%
ARCHDES102,100,ANTHRO,12%,53%,95%
ARCHDRC103,100,ARCHDES,7%,61%,95%
ARCHHTC102G,100,ARCHDRC,4%,30%,77%
ARTHIST114G,100,ARCHTECH,2%,34%,83%
ARTHIST233,200,ARTHIST,8%,72%,92%
ARTHIST235,200,ARTHIST,19%,69%,92%
ARTHIST248,200,ARTHIST,6%,41%,94%
ARTHIST333,300,ARTHIST,18%,65%,85%
ARTHIST335,300,ARTHIST,11%,71%,83%
ARTHIST348,300,ARTHIST,24%,45%,93%
ARTSGEN103,100,ARTSCHOL,18%,45%,68%
ARTSGEN103G,100,ARTSCHOL,24%,61%,79%
BUSAN301,300,BUSAN,8%,73%,98%
CHEMMAT100G,100,CHEM,18%,39%,75%
CHINESE339,300,CHINESE,41%,63%,96%
COMPLIT200,200,COMMS,20%,69%,94%
COMPSCI111G,100,COMPSCI,15%,51%,80%
CRIM202,200,COMPSYS,10%,57%,91%
CRIM205,200,CRIM,8%,56%,89%
CRIM304,300,CRIM,6%,46%,86%
DESIGN211,200,DESIGN,26%,85%,95%
EARTHSCI120,100,EARTHSCI,8%,48%,85%
EARTHSCI307,300,EARTHSCI,4%,43%,91%
EDCURRIC208,200,EDCURRIC,0%,47%,87%
EDCURRIC217,200,EDCURRIC,15%,77%,89%
EDCURRM119,100,EDCURRM,9%,61%,91%
EDPROFM100,100,EDPROFM,28%,74%,92%
EDPROFM203,200,EDPROFM,36%,81%,97%
EDPROFM208,200,EDPROFM,23%,65%,86%
EDPROFST102,100,EDPROFST,7%,45%,86%
EDPROFST308A,300,EDPROFST,11%,51%,86%
EDPROFST315,300,EDPROFST,7%,73%,91%
EDUC308,300,EDUC,8%,55%,93%
EDUC316,300,EDUC,14%,51%,83%
EDUC380,300,EDUC,0%,6%,56%
ENGGEN101G,100,ENGGEN,41%,74%,88%
ENGLISH101,100,ENGGEN,3%,33%,73%
ENGLISH214,200,ENGLISH,4%,35%,85%
ENGLISH330,300,ENGLISH,5%,51%,90%
ENVPHYS100,100,ENVENG,12%,51%,82%
ENVSCI101,100,ENVSCI,10%,54%,90%
ENVSCI101G,100,ENVSCI,7%,44%,85%
EUROPEAN100G,100,ENVSCI,8%,52%,91%
FINEARTS235,200,FINEARTS,8%,66%,93%
FRENCH229,200,FRENCH,25%,67%,100%
FRENCH329,300,FRENCH,33%,72%,94%
GENDER306,300,FRENCH,0%,44%,64%
GEOG101,100,GEOG,6%,45%,84%
GEOG102,100,GEOG,9%,51%,83%
GEOG103,100,GEOG,10%,47%,83%
GEOG103G,100,GEOG,13%,53%,89%
GEOG305,300,GEOG,10%,51%,89%
GERMAN291,200,GERMAN,17%,50%,75%
GERMAN391,300,GERMAN,14%,71%,71%
HISTORY210,200,HISTORY,6%,40%,72%
HISTORY227,200,HISTORY,6%,58%,85%
HISTORY270,200,HISTORY,4%,49%,78%
HISTORY327,300,HISTORY,10%,57%,81%
HISTORY367,300,HISTORY,9%,43%,74%
HISTORY370,300,HISTORY,6%,63%,87%
INFOSYS303,300,INFOSYS,15%,72%,93%
INFOSYS310A,300,INFOSYS,38%,96%,97%
INNOVENT203G,200,INNOVENT,2%,56%,92%
LATINAM216,200,LATINAM,20%,69%,98%
LATINAM301,300,LATINAM,32%,71%,94%
LAWCOMM414,400,LAW,0%,81%,98%
LAWGENRL428,400,LAWGENRL,3%,69%,86%
LAWGENRL453,400,LAWGENRL,2%,76%,95%
MAORI202,200,MAORI,4%,49%,81%
MAORI303,300,MAORI,11%,63%,87%
MEDIA212,200,MEDIA,3%,49%,89%
MEDIA229,200,MEDIA,2%,34%,89%
MEDIA328,300,MEDIA,4%,58%,93%
MEDIA331,300,MEDIA,3%,26%,87%
MKTG302,300,MKTG,13%,54%,94%
MUS143,100,MUS,5%,45%,85%
MUS243,200,MUS,11%,44%,88%
MUS247,200,MUS,0%,5%,20%
MUS347,300,MUS,0%,41%,82%
PACIFIC206,200,PACIFIC,10%,46%,75%
PACIFIC306,300,PACIFIC,9%,49%,85%
PHIL207,200,PHIL,1%,44%,87%
PHIL218,200,PHIL,5%,55%,85%
PHIL327,300,PHIL,4%,67%,90%
PHIL338,300,PHIL,6%,46%,88%
POLITICS107G,100,POLITICS,3%,41%,83%
POLITICS209,200,POLITICS,3%,45%,85%
POLITICS256,200,POLITICS,5%,41%,82%
POLITICS311,300,POLITICS,4%,50%,88%
POLITICS313,300,POLITICS,8%,69%,92%
POLITICS316,300,POLITICS,2%,55%,92%
SCIGEN201G,200,SCIGEN,5%,47%,88%
SOCIOL200,200,SOCIOL,10%,46%,78%
SOCIOL207,200,SOCIOL,3%,40%,84%
SOCIOL208,200,SOCIOL,9%,47%,80%
SOCWORK100A,100,SOCSCIPH,6%,38%,67%
SOCWORK101A,100,SOCSCIPH,11%,38%,63%
SOCWORK102A,100,SOCSCIPH,14%,38%,65%
SOCWORK414,400,SOCWORK,9%,41%,90%
STATS101G,100,STATS,8%,32%,73%
TFCEDUC14F,100,STATS,7%,31%,63%
TFCMAORI10F,100,STATS,6%,23%,63%
THEOREL223,200,STATS,10%,68%,87%
THEOREL323,300,STATS,14%,54%,86%
URBPLAN101G,100,STATS,4%,38%,86%
URBPLAN123,100,STATS,4%,63%,91%
ANCIENT103,100,ACCTG,3%,32%,73%
ANCIENT251,200,ANCIENT,26%,52%,82%
ANCIENT285,200,ANCIENT,4%,45%,80%
ANCIENT351,300,ANCIENT,39%,76%,90%
ANCIENT385,300,ANCIENT,12%,55%,84%
ANTHRO235,200,ANTHRO,3%,54%,88%
ANTHRO329,300,ANTHRO,18%,75%,89%
ANTHRO367,300,ANTHRO,2%,52%,92%
ARCHTECH108,100,ARCHHTC,7%,71%,96%
ARTHIST115G,100,ARTHIST,5%,58%,86%
ARTHIST204,200,ARTHIST,10%,60%,85%
ARTHIST224,200,ARTHIST,4%,49%,85%
ARTHIST324,300,ARTHIST,11%,60%,86%
ARTHIST334,300,ARTHIST,18%,61%,89%
ASIAN140G,100,ASIAN,7%,57%,92%
BIOSCI322,300,BIOSCI,8%,45%,80%
BUSAN100G,100,BLTENV,24%,75%,93%
BUSINESS151G,100,BUSINESS,3%,49%,88%
CAREER100G,100,BUSINESS,9%,71%,96%
CHINESE306,300,CHINESE,6%,85%,96%
COMMS102,100,COMMS,7%,48%,88%
COMMS103,100,COMMS,9%,39%,82%
COMMS105,100,COMMS,2%,67%,92%
COMPLIT202,200,COMMS,15%,74%,93%
COMPLIT303,300,COMPLIT,15%,77%,92%
CRIM203,200,COMPSYS,12%,66%,92%
DANCE121,100,DANCE,11%,68%,88%
DANCE200G,200,DANCE,15%,68%,93%
DESIGN301,300,DESIGN,29%,70%,95%
DESIGN302,300,DESIGN,23%,64%,98%
DRAMA303,300,DRAMA,11%,65%,92%
EARTHSCI205,200,EARTHSCI,7%,39%,89%
EARTHSCI205G,200,EARTHSCI,6%,37%,73%
ECON305,300,ECON,27%,66%,87%
EDCURRIC117,100,EDCURRIC,11%,60%,89%
EDCURRM114,100,EDCURRM,39%,74%,78%
EDPROFM204,200,EDPROFM,23%,67%,95%
EDPROFM304,300,EDPROFM,5%,34%,88%
EDUC106,100,EDUC,4%,47%,88%
EDUC122G,100,EDUC,19%,55%,85%
EDUCM203,200,EDUCM,22%,48%,78%
ENGLISH102G,100,ENGLISH,3%,33%,77%
ENGLISH207,200,ENGLISH,4%,51%,87%
ENGLISH216,200,ENGLISH,9%,54%,78%
ENGLISH311,300,ENGLISH,1%,43%,87%
ENGLISH322,300,ENGLISH,10%,43%,79%
EUROPEAN200,200,ENVSCI,1%,67%,88%
EUROPEAN300,300,EUROPEAN,3%,68%,89%
FINEARTS210G,200,FINEARTS,2%,26%,75%
FINEARTS221,200,FINEARTS,37%,81%,90%
FINEARTS225,200,FINEARTS,17%,48%,81%
FINEARTS249,200,FINEARTS,12%,58%,93%
FRENCH320,300,FRENCH,9%,72%,97%
GENDER301,300,FRENCH,4%,28%,76%
GEOG104,100,GEOG,5%,52%,89%
GEOG104G,100,GEOG,2%,45%,86%
GERMAN207,200,GERMAN,11%,39%,67%
GERMAN307,300,GERMAN,39%,72%,83%
HISTORY205,200,HISTORY,3%,50%,89%
HISTORY239,200,HISTORY,6%,50%,82%
HISTORY309,300,HISTORY,4%,55%,91%
HISTORY339,300,HISTORY,9%,46%,80%
LANGTCHG206,200,LANGTCHG,14%,73%,100%
LAWCOMM420,400,LAWCOMM,7%,74%,96%
LAWCOMM467,400,LAWCOMM,2%,71%,98%
LAWGENRL422,400,LAWGENRL,2%,56%,96%
LAWPUBL466,400,LAWPUBL,5%,59%,95%
LINGUIST324,300,LINGUIST,30%,56%,82%
MAORI330,300,MAORI,13%,63%,87%
MATHS350,300,MATHS,16%,21%,32%
MEDIA202,200,MEDIA,6%,44%,91%
MEDIA214,200,MEDIA,3%,44%,92%
MEDIA241,200,MEDIA,2%,37%,87%
MEDIA307,300,MEDIA,4%,54%,94%
MEDIA314,300,MEDIA,4%,36%,92%
MEDIA341,300,MEDIA,4%,26%,86%
MEDSCI101G,100,MEDSCI,4%,36%,80%
MUS248,200,MUS,6%,46%,83%
MUS343,300,MUS,23%,63%,90%
MUS348,300,MUS,0%,59%,92%
MUS377,300,MUS,24%,35%,53%
OPTOM101G,100,OPTOM,14%,70%,92%
PACIFIC208,200,PACIFIC,11%,32%,68%
PACIFIC212,200,PACIFIC,5%,49%,75%
PACIFIC307,300,PACIFIC,10%,29%,68%
PACIFIC312,300,PACIFIC,7%,43%,72%
PHIL204,200,PHIL,9%,54%,89%
PHIL250,200,PHIL,5%,52%,91%
PHIL315,300,PHIL,18%,58%,81%
PHIL340,300,PHIL,15%,43%,78%
PHIL351,300,PHIL,5%,49%,89%
POLITICS254,200,POLITICS,6%,53%,88%
POLITICS345,300,POLITICS,8%,36%,75%
POLITICS346,300,POLITICS,4%,50%,89%
POPLHLTH301,300,POPLHLTH,1%,66%,96%
POPLHLTH306,300,POPLHLTH,7%,67%,94%
PROPERTY103,100,PROPERTY,4%,43%,85%
PROPERTY382,300,PROPERTY,11%,61%,96%
SCIGEN102,100,SCIGEN,53%,87%,99%
SCIGEN102G,100,SCIGEN,49%,82%,92%
STATS370,300,STATS,22%,53%,82%
STATS383,300,STATS,10%,49%,82%
TFCEDUC13F,100,STATS,1%,13%,54%
TFCEDUC16F,100,STATS,3%,37%,81%
THEOREL106G,100,STATS,8%,66%,92%
THEOREL202,200,STATS,38%,60%,88%
THEOREL222,200,STATS,22%,83%,100%
THEOREL302,300,STATS,37%,56%,78%
THEOREL310,300,STATS,29%,43%,48%
THEOREL322,300,STATS,8%,54%,92%
URBPLAN122,100,STATS,4%,60%,92%
URBPLAN126,100,STATS,4%,43%,85%
ANCIENT379,300,ANCIENT,86%,100%,100%
CHINESE277,200,CHINESE,24%,64%,64%
CHINESE378,300,CHINESE,16%,20%,20%
HISTORY208,200,HISTORY,14%,59%,94%
HISTORY308,300,HISTORY,29%,75%,95%
LAWPUBL434,400,LAWPUBL,3%,53%,96%
MARINE305,300,MARINE,4%,52%,97%
POLITICS218,200,POLITICS,3%,50%,91%
POLITICS347,300,POLITICS,4%,45%,90%
SPANISH377,300,SPANISH,53%,67%,67%
ANCIENT102,100,ACCTG,5%,44%,78%
ANCIENT214,200,ANCIENT,6%,40%,74%
ANCIENT253,200,ANCIENT,9%,47%,86%
ANCIENT314,300,ANCIENT,14%,52%,94%
ANCIENT353,300,ANCIENT,19%,60%,86%
ANTHRO107,100,ANCIENT,7%,48%,83%
ANTHRO109,100,ANCIENT,5%,36%,74%
ARTHIST230,200,ARTHIST,14%,63%,88%
ARTHIST332,300,ARTHIST,16%,69%,94%
CIVIL314,300,CIVIL,1%,10%,82%
CIVIL322,300,CIVIL,24%,73%,98%
CIVIL331,300,CIVIL,57%,91%,98%
CIVIL360,300,CIVIL,38%,82%,98%
COMLAW304,300,COMLAW,11%,45%,92%
COMMS104,100,COMMS,2%,39%,83%
COMMS104G,100,COMMS,2%,47%,90%
COMMS303,300,COMMS,12%,59%,90%
COMPLIT210,200,COMPLIT,19%,66%,88%
DANCE201,200,DANCE,10%,77%,93%
DANCE350,300,DANCE,9%,60%,96%
DESIGN210,200,DESIGN,14%,80%,84%
DRAMA203,200,DISABLTY,7%,50%,93%
EARTHSCI261,200,EARTHSCI,13%,55%,88%
ECON304,300,ECON,39%,75%,96%
EDCURRM117,100,EDCURRM,28%,53%,85%
EDPROFM101,100,EDPROFM,26%,71%,89%
EDPROFM102,100,EDPROFM,3%,34%,83%
EDPROFST212,200,EDPROFST,0%,29%,78%
GEOPHYS310,300,GEOPHYS,0%,22%,39%
GERMAN392,300,GERMAN,38%,100%,100%
LAWCOMM403,400,LAW,4%,67%,95%
LAWCOMM442,400,LAWCOMM,3%,81%,96%
LAWCOMM451,400,LAWCOMM,3%,57%,99%
LAWGENRL401,400,LAWGENRL,1%,57%,97%
LAWGENRL405,400,LAWGENRL,9%,73%,76%
LAWGENRL423,400,LAWGENRL,10%,58%,90%
LAWGENRL425,400,LAWGENRL,1%,65%,90%
LAWGENRL447,400,LAWGENRL,9%,80%,84%
LAWPUBL400,400,LAWGENRL,41%,94%,100%
LAWPUBL471,400,LAWPUBL,1%,55%,91%
MEDIA218,200,MEDIA,4%,41%,89%
MEDIA323,300,MEDIA,7%,43%,91%
MGMT300,300,MGMT,7%,67%,96%
PHIL209,200,PHIL,4%,31%,77%
SOCIOL211,200,SOCIOL,17%,59%,81%
SOCWORK180,100,SOCWORK,0%,9%,64%
SPANISH207,200,SPANISH,18%,36%,91%
SPANISH307,300,SPANISH,17%,42%,58%
SPORT203,200,SPANISH,10%,48%,90%
TFCEDUC15F,100,STATS,3%,15%,55%
ANCIENT100,100,ACCTG,14%,46%,74%
ANCIENT215,200,ANCIENT,0%,33%,80%
ANCIENT216,200,ANCIENT,18%,66%,88%
ANCIENT315,300,ANCIENT,0%,39%,95%
ANCIENT316,300,ANCIENT,17%,63%,94%
ANTHRO106,100,ANCIENT,2%,38%,79%
ANTHRO106G,100,ANCIENT,2%,42%,79%
ANTHRO234,200,ANTHRO,16%,43%,77%
ANTHRO252,200,ANTHRO,9%,58%,80%
ANTHRO357,300,ANTHRO,1%,38%,79%
ARTHIST217,200,ARTHIST,8%,58%,95%
ARTHIST246,200,ARTHIST,9%,52%,89%
ARTHIST317,300,ARTHIST,3%,65%,95%
ARTHIST346,300,ARTHIST,23%,68%,83%
CIVIL361,300,CIVIL,15%,65%,96%
COMMS311,300,COMMS,22%,67%,98%
COMMS315,300,COMMS,9%,48%,95%
CRIM303,300,CRIM,4%,57%,89%
DRAMA305,300,DRAMA,30%,85%,96%
EARTHSCI262,200,EARTHSCI,2%,44%,88%
EDCURRIC207,200,EDCURRIC,6%,27%,82%
EDCURRIC209,200,EDCURRIC,2%,49%,87%
EDCURRM108,100,EDCURRM,8%,59%,84%
EDCURRM109,100,EDCURRM,18%,58%,85%
EDCURRM205,200,EDCURRM,20%,83%,93%
EDUC117,100,EDUC,6%,38%,82%
EDUCM106,100,EDUCM,8%,52%,81%
ENGLISH265,200,ENGLISH,14%,49%,83%
ENGLISH310,300,ENGLISH,4%,48%,93%
ENVENG333,300,ENVENG,1%,34%,97%
EXERSCI304,300,EXERSCI,9%,58%,97%
FRENCH241,200,FRENCH,20%,67%,67%
FRENCH379,300,FRENCH,22%,65%,96%
GEOPHYS311,300,GEOPHYS,0%,22%,39%
GLOBAL204,200,GLOBAL,23%,81%,92%
GLOBAL252,200,GLOBAL,5%,49%,85%
GLOBAL304,300,GLOBAL,27%,81%,96%
GLOBAL352,300,GLOBAL,9%,61%,89%
INFOSYS300,300,INFOSYS,32%,91%,97%
LANGTCHG304,300,LANGTCHG,42%,89%,95%
LATINAM201,200,LATIN,37%,79%,98%
LATINAM303,300,LATINAM,36%,75%,89%
LAWCOMM444,400,LAWCOMM,3%,65%,100%
LAWGENRL455,400,LAWGENRL,3%,75%,92%
LAWGENRL456,400,LAWGENRL,1%,66%,93%
LAWPUBL406,400,LAWPUBL,3%,35%,89%
LINGUIST207,200,LINGUIST,34%,68%,91%
MAORI335,300,MAORI,9%,74%,88%
MATHS190,100,MATHS,26%,60%,87%
MATHS190G,100,MATHS,15%,44%,73%
MATHS334,300,MATHS,42%,67%,67%
MEDIA231,200,MEDIA,8%,41%,87%
MEDIA238,200,MEDIA,0%,35%,96%
MEDIA332,300,MEDIA,7%,51%,91%
MEDIA338,300,MEDIA,2%,36%,90%
MUS376,300,MUS,0%,22%,56%
PACIFIC205,200,PACIFIC,15%,39%,67%
PACIFIC305,300,PACIFIC,17%,38%,65%
PHIL260,200,PHIL,11%,38%,77%
PHIL360,300,PHIL,6%,32%,82%
PSYCH315,300,PSYCH,78%,78%,78%
SOCIOL315,300,SOCIOL,7%,42%,82%
SOCIOL322,300,SOCIOL,6%,36%,79%
SOCIOL333,300,SOCIOL,25%,67%,89%
CIVIL312,300,CIVIL,21%,57%,94%
CIVIL313,300,CIVIL,15%,68%,96%
CIVIL324,300,CIVIL,6%,42%,87%
CIVIL332,300,CIVIL,6%,50%,95%
ENVENG342,300,ENVENG,39%,89%,95%
HISTORY233,200,HISTORY,0%,45%,84%
HISTORY333,300,HISTORY,7%,70%,95%
LAWCOMM412,400,LAW,0%,52%,92%
LAWGENRL442,400,LAWGENRL,1%,55%,95%
LAWPUBL445,400,LAWPUBL,4%,66%,96%
LAWPUBL467,400,LAWPUBL,8%,63%,94%
ANTHRO212,200,ANTHRO,8%,50%,78%
ANTHRO250,200,ANTHRO,3%,34%,72%
ANTHRO319,300,ANTHRO,2%,30%,76%
ANTHRO373,300,ANTHRO,5%,38%,86%
BUSAN304,300,BUSAN,12%,62%,94%
CHEM254A,200,CHEM,36%,89%,98%
CIVIL201,200,CHINESE,74%,95%,98%
CLINIMAG301,300,CIVIL,0%,72%,99%
COMMS201,200,COMMS,3%,41%,91%
COMMS302,300,COMMS,15%,72%,95%
COMMS309,300,COMMS,1%,40%,93%
CRIM308,300,CRIM,17%,51%,81%
DESIGN222,200,DESIGN,50%,89%,98%
DRAMA304,300,DRAMA,4%,79%,93%
ECON232,200,ECON,26%,87%,100%
ECON351,300,ECON,22%,52%,85%
EDPROFST103,100,EDPROFST,5%,34%,75%
EDPROFST305,300,EDPROFST,20%,64%,98%
EDPROFST375,300,EDPROFST,23%,81%,94%
ENGLISH344,300,ENGLISH,47%,94%,94%
ENVCHG300,300,ENGWRIT,0%,33%,50%
FINEARTS234,200,FINEARTS,17%,87%,91%
FINEARTS240,200,FINEARTS,32%,68%,91%
FINEARTS244,200,FINEARTS,14%,55%,86%
FINEARTS248,200,FINEARTS,16%,56%,91%
GERMAN230,200,GERMAN,34%,79%,93%
GREEK100,100,GLOBAL,27%,44%,64%
GREEK301,300,GREEK,50%,88%,88%
HLTHSOC100,100,HLTHPSYC,9%,18%,74%
HUMSERV102,100,HUMSERV,11%,47%,81%
INFOSYS221,200,INFOSYS,12%,51%,89%
INNOVENT306,300,INNOVENT,16%,81%,99%
LAWCOMM456,400,LAWCOMM,11%,58%,90%
